0 credits,1 credits,2 credits,3 credits,4 credits,5 credits,6 credits,7 credits,8 credits,9 credits,10 credits
25,25,23,12,7,7,0,0,1,0,0
26,24,23,12,6,8,0,0,1,0,0
26,24,23,12,6,8,0,0,1,0,0
26,25,21,12,7,8,0,0,1,0,0
26,25,21,12,7,8,0,0,1,0,0
27,24,20,13,7,8,0,0,1,0,0
27,24,20,13,7,8,0,0,1,0,0
27,24,20,13,7,8,0,0,1,0,0
28,23,20,13,6,9,0,0,1,0,0
29,22,20,12,7,9,0,0,1,0,0
29,22,20,12,7,9,0,0,1,0,0
29,23,19,12,6,10,0,0,1,0,0
29,23,19,12,6,10,0,0,1,0,0
28,24,20,11,6,10,0,0,1,0,0
28,24,20,11,6,10,0,0,1,0,0
27,25,20,11,6,10,0,0,1,0,0
28,24,20,10,7,10,0,0,1,0,0
28,24,20,10,7,10,0,0,1,0,0
29,23,20,10,7,9,1,0,1,0,0
28,24,20,10,7,9,1,0,1,0,0
28,24,20,10,7,9,1,0,1,0,0
29,22,20,11,7,9,1,0,1,0,0
29,22,21,9,8,9,1,0,1,0,0
28,24,20,9,8,9,1,0,1,0,0
28,24,20,9,8,9,1,0,1,0,0
28,24,19,10,8,9,1,1,0,0,0
29,22,20,10,8,9,1,1,0,0,0
30,21,20,9,9,9,1,1,0,0,0
30,20,21,9,9,9,1,1,0,0,0
29,20,22,10,8,9,1,1,0,0,0
30,19,21,10,9,9,1,1,0,0,0
31,18,21,10,9,8,2,1,0,0,0
30,18,22,10,10,7,2,1,0,0,0
30,18,22,10,10,7,2,1,0,0,0
30,18,22,10,10,7,2,1,0,0,0
31,17,21,11,10,7,2,1,0,0,0
32,16,21,10,11,7,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
31,18,20,11,9,8,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
32,17,19,12,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
30,20,19,11,8,9,2,1,0,0,0
30,19,20,11,8,10,1,1,0,0,0
30,19,20,11,8,10,1,1,0,0,0
31,17,21,11,8,10,1,1,0,0,0
31,17,20,12,9,9,1,1,0,0,0
31,17,20,12,9,9,1,1,0,0,0
31,17,20,12,9,9,1,1,0,0,0
30,18,20,12,10,8,1,1,0,0,0
31,17,20,12,10,7,2,1,0,0,0
31,16,21,12,10,7,2,1,0,0,0
31,16,21,11,11,8,1,1,0,0,0
32,15,21,11,10,9,1,1,0,0,0
32,15,21,11,10,9,1,1,0,0,0
31,16,21,11,10,10,0,1,0,0,0
31,16,21,11,10,10,0,1,0,0,0
30,17,21,12,9,10,0,1,0,0,0
31,15,22,12,9,10,0,1,0,0,0
31,15,22,12,9,10,0,1,0,0,0
31,15,21,13,10,9,0,1,0,0,0
30,16,21,14,9,9,0,1,0,0,0
31,15,20,15,9,9,0,1,0,0,0
31,15,20,15,9,9,0,1,0,0,0
31,15,20,15,9,9,0,1,0,0,0
30,16,20,15,9,9,0,1,0,0,0
30,16,20,15,9,9,0,1,0,0,0
29,18,19,15,9,9,0,1,0,0,0
29,19,17,16,9,9,0,1,0,0,0
29,19,17,16,9,9,0,1,0,0,0
28,21,16,16,9,9,0,1,0,0,0
29,20,15,16,10,9,0,1,0,0,0
29,19,17,15,10,9,0,1,0,0,0
29,19,17,15,10,9,0,1,0,0,0
29,19,17,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
31,17,17,15,10,8,0,2,0,0,0
30,19,16,15,10,8,0,2,0,0,0
30,19,16,15,10,8,0,2,0,0,0
30,19,16,15,10,8,0,2,0,0,0
30,19,17,14,10,7,1,2,0,0,0
30,19,17,14,10,7,1,2,0,0,0
30,19,17,14,10,7,1,2,0,0,0
30,20,16,13,11,7,1,2,0,0,0
30,20,16,13,11,7,1,2,0,0,0
29,21,16,14,10,7,1,2,0,0,0
29,22,15,13,11,7,1,2,0,0,0
29,21,16,13,11,7,1,2,0,0,0
29,21,17,12,10,8,1,2,0,0,0
30,21,16,11,10,9,1,2,0,0,0
30,21,15,12,11,8,1,2,0,0,0
29,22,16,11,11,8,1,2,0,0,0
29,22,15,12,12,7,1,2,0,0,0
29,21,16,12,13,6,1,2,0,0,0
29,21,15,14,12,6,1,2,0,0,0
30,20,15,14,12,6,1,1,1,0,0
30,20,15,14,12,6,1,1,1,0,0
30,20,15,14,12,6,1,1,1,0,0
30,20,15,15,11,5,2,1,1,0,0
30,20,16,13,12,5,2,1,1,0,0
30,21,15,13,12,4,3,1,1,0,0
30,21,15,13,12,4,3,1,1,0,0
30,22,14,13,12,4,3,1,0,1,0
30,22,14,13,12,4,3,1,0,1,0
30,21,16,12,12,4,3,1,0,1,0
29,21,17,12,13,3,3,1,0,1,0
29,21,17,12,13,3,3,1,0,1,0
29,21,17,12,13,3,3,1,0,1,0
30,20,17,12,13,3,3,1,0,0,1
30,20,18,10,14,3,3,1,0,0,1
30,20,18,10,14,3,3,1,0,0,1
30,20,18,10,14,3,3,1,0,0,1
30,21,16,11,14,3,3,1,0,0,1
30,21,16,11,14,3,3,1,0,0,1
30,20,17,11,14,3,3,1,0,0,1
31,19,16,12,14,3,3,1,0,0,1
31,19,16,12,14,3,3,1,0,0,1
31,19,17,11,13,4,3,1,0,0,1
31,20,17,10,13,4,2,1,1,0,1
31,20,17,10,13,4,2,1,1,0,1
30,21,17,11,12,4,2,1,1,0,1
30,21,18,9,13,4,2,1,1,0,1
30,21,18,9,13,4,2,1,1,0,1
30,22,16,10,13,4,2,1,1,0,1
30,22,16,10,13,4,2,1,1,0,1
30,21,17,11,12,4,2,1,1,0,1
30,21,17,11,12,4,2,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
29,23,16,11,11,6,1,1,1,0,1
29,23,16,11,11,6,1,1,1,0,1
29,22,18,10,11,6,1,1,1,0,1
29,22,18,10,11,6,1,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
29,22,17,12,10,6,1,1,1,0,1
29,23,15,13,10,6,1,1,1,0,1
28,24,15,14,9,6,1,1,1,0,1
29,23,15,14,8,7,1,1,1,0,1
29,22,16,15,7,7,1,1,1,0,1
29,23,14,16,7,7,1,1,1,0,1
29,23,14,17,6,6,2,1,1,0,1
28,23,16,16,6,6,2,1,1,0,1
28,23,15,17,6,6,2,2,0,0,1
27,24,16,16,6,6,2,2,0,0,1
26,25,17,15,6,6,2,2,0,0,1
26,24,19,14,6,6,2,2,0,0,1
25,25,20,13,6,6,2,2,0,0,1
26,24,19,14,6,6,2,2,0,0,1
27,23,19,14,6,6,1,3,0,0,1
27,23,19,14,6,6,1,3,0,0,1
27,23,19,14,6,5,2,3,0,1,0
27,23,19,14,6,5,2,3,0,1,0
26,24,19,14,6,6,1,3,0,1,0
26,24,19,14,6,6,1,3,0,1,0
26,24,19,14,6,6,1,3,0,1,0
27,23,18,15,6,6,1,3,0,1,0
26,24,18,16,5,6,1,3,0,1,0
27,23,18,16,5,6,1,3,0,0,1
27,23,18,16,5,6,1,3,0,0,1
27,23,19,14,6,6,1,3,0,0,1
28,22,19,13,7,6,1,3,0,0,1
28,22,20,11,8,6,1,3,0,0,1
28,22,20,11,8,6,1,3,0,0,1
28,23,18,12,8,6,1,3,0,0,1
29,22,17,13,8,6,1,3,0,0,1
29,22,17,13,8,6,1,3,0,0,1
29,22,17,13,8,6,1,3,0,0,1
29,22,16,15,7,6,1,3,0,0,1
29,22,16,15,7,6,1,3,0,0,1
28,23,16,16,6,6,1,3,0,0,1
28,22,17,17,5,6,1,3,0,0,1
28,22,18,15,6,6,1,3,0,0,1
28,22,17,17,5,6,1,3,0,0,1
28,21,19,16,5,6,1,3,0,0,1
28,21,19,16,5,6,1,3,0,0,1
29,20,19,15,6,6,1,3,0,0,1
30,18,20,15,6,6,1,3,0,0,1
30,18,20,15,6,6,1,3,0,0,1
30,19,19,14,7,6,1,3,0,0,1
30,19,19,14,7,6,1,3,0,0,1
30,19,19,14,7,6,1,3,0,0,1
30,19,18,15,7,6,1,3,0,0,1
30,19,18,15,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
29,20,18,15,7,6,1,3,0,0,1
30,19,18,15,6,7,1,3,0,0,1
30,19,18,15,6,7,1,3,0,0,1
29,20,18,15,7,6,1,3,0,0,1
29,20,17,17,6,6,1,3,0,0,1
29,20,17,17,6,6,1,3,0,0,1
29,20,17,17,6,6,1,3,0,0,1
29,19,18,17,7,5,1,3,0,0,1
28,21,17,17,7,5,1,3,0,0,1
28,21,17,17,7,5,1,3,0,0,1
28,22,16,17,6,6,1,3,0,0,1
